Repository,Path,Type,Branch,LastCommit,HasRemote,Status,HasPnpm,HasNvmrc,HasDockerfile,HasReadme,GitStatus,Notes
FANZChatbotCommand,./FANZChatbotCommand,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzCock,./FanzCock,core-system,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzCommerceV1,./FanzCommerceV1,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzDash,./FanzDash,core-system,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzEcosystem,./FanzEcosystem,unified-ecosystem,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzEliteTubeV1,./FanzEliteTubeV1,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzFiliate,./FanzFiliate,specialized-service,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZForge,./FANZForge,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzHubVaultV1,./FanzHubVaultV1,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzLanding,./FanzLanding,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzLink-Link-in-Bio,./FanzLink-Link-in-Bio,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzMediaCore,./FanzMediaCore,core-system,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzMeetV1,./FanzMeetV1,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzOS,./FanzOS,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzOSMicroservices,./FanzOSMicroservices,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzOSMicroservices1,./FanzOSMicroservices1,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzProtect,./FanzProtect,core-system,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzRadio,./FanzRadio,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzReels-1,./FanzReels-1,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzRoulette,./FanzRoulette,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzSecurityCompDash,./FanzSecurityCompDash,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzSpicyAi,./FanzSpicyAi,specialized-service,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzTube,./FanzTube,core-system,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzVarsity,./FanzVarsity,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzWorkMarketplace,./FanzWorkMarketplace,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzWorld,./FanzWorld,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
.,.,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
fanz-sync-analysis,./fanz-sync-analysis,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FanzMoneyDash,./FanzMoneyDash,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
PupFanz,./PupFanz,platform-cluster,main,2a6db0b feat(warp): add Warp workflows and environment example,yes,needs-commit,yes,no,no,no,dirty,
